MS-T-217-7 SANCARGO,邦达,7,,Vacuum Flask,本、兰混,12pcs/ctn,2CTNS,24pcs,0.204CBM,14.0KGS,28.0KGS,¥50.00,"¥1,200.00",,
MS-T-217-8 SANCARGO,邦达,8,,Vacuum Flask,白、兰、红混,12pcs/ctn,2CTNS,24pcs,0.178CBM,12.0KGS,24.0KGS,¥45.00,"¥1,080.00",,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
MS-T-218-1 SANCARGO,邦达,9,,Food flask,"布袋、混
（再配一个勺子）",12pcs/ctn,12CTNS,144pcs,1.122CBM,22.0KGS,264.0KGS,¥50.00,"¥7,200.00",,
MS-T-218-2 SANCARGO,邦达,10,,Food flask,"布袋、混
（再配一个勺子）",12pcs/ctn,11CTNS,132pcs,1.212CBM,27.0KGS,297.0KGS,¥70.00,"¥9,240.00",,
MS-T-218-3 SANCARGO,邦达,11,,Vacuum Flask,混,12pcs/ctn,2CTNS,24pcs,0.300CBM,18.0KGS,36.0KGS,¥75.00,"¥1,800.00",,
MS-T-218-4 SANCARGO,邦达,12,,Vacuum Flask,白色、清装,9pcs/ctn,3CTNS,27pcs,0.409CBM,20.0KGS,60.0KGS,¥114.00,"¥3,078.00",,
MS-T-218-5 SANCARGO,邦达,13,,Vacuum Flask,本色、清装,9pcs/ctn,7CTNS,63pcs,1.103CBM,20.0KGS,140.0KGS,¥114.00,"¥7,182.00",,
MS-T-218-6 SANCARGO,邦达,14,,Vacuum Flask,混,16pcs/ctn,5CTNS,80pcs,0.673CBM,21.6KGS,108.0KGS,¥50.00,"¥4,000.00",,
MS-T-218-7 SANCARGO,邦达,15,,Vacuum Flask,混,16pcs/ctn,10CTNS,160pcs,1.253CBM,19.0KGS,190.0KGS,¥45.00,"¥7,200.00",,
MS-T-218-8 SANCARGO,邦达,16,,Vacuum Flask,本、兰混,12pcs/ctn,5CTNS,60pcs,0.509CBM,14.0KGS,70.0KGS,¥50.00,"¥3,000.00",,
MS-T-218-9 SANCARGO,邦达,17,,Vacuum Flask,白、兰、红混,12pcs/ctn,5CTNS,60pcs,0.445CBM,13.0KGS,65.0KGS,¥45.00,"¥2,700.00",,
MS-T-219-1 SANCARGO,马腾,1,,Glass Tea pot,Q16187-1提栏壶单只透明,24pcs/ctn,3CTNS,72pcs,0.300CBM,12.8KGS,38.4KGS,¥28.00,"¥2,016.00",,
,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,
MS-T-219-2 SANCARGO,马腾,2,,Electric Ceramic Stove,J3简造小钢炮电陶炉 1200W-木纹色,20pcs/ctn,3CTNS,60pcs,0.330CBM,18.0KGS,54.0KGS,¥80.00,"¥4,800.00",,
MS-T-219-3 SANCARGO,马腾,3,,Electric Ceramic Stove,V17冰花色电陶炉 1500W,10pcs/ctn,5CTNS,50pcs,0.235CBM,18.0KGS,90.0KGS,¥95.00,"¥4,750.00",,
MS-T-219-4 SANCARGO,马腾,4,,Glass Tea pot,Q16182-1提栏壶单只透明 六角竖纹,24pcs/ctn,3CTNS,72pcs,0.300CBM,12.8KGS,38.4KGS,¥26.00,"¥1,872.00",,
MS-T-220-1 SANCARGO,大壮,1,,Ceramic plates,"10.5""蓝鲸盘",30pcs/ctn,20CTNS,600pcs,0.810CBM,25.0KGS,500.0KGS,¥3.00,"¥1,800.00",,
MS-T-220-3 SANCARGO,大壮,3,,Ceramic  bowls,"5.5""蓝鲸碗",48pcs/ctn,5CTNS,240pcs,0.233CBM,24.0KGS,120.0KGS,¥1.60,¥384.00,,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
MS-T-220-4 SANCARGO,大壮,4,,Ceramic plates,"10.5""蓝鲸黑线盘",30pcs/ctn,20CTNS,600pcs,0.731CBM,24.0KGS,480.0KGS,¥3.00,"¥1,800.00",,
MS-T-220-5 SANCARGO,大壮,5,,Ceramic plates,"8""蓝鲸黑线盘",60pcs/ctn,5CTNS,300pcs,0.199CBM,24.0KGS,120.0KGS,¥1.80,¥540.00,,
MS-T-220-6 SANCARGO,大壮,6,,Ceramic  bowls,"6""蓝鲸黑线碗",48pcs/ctn,5CTNS,240pcs,0.211CBM,24.0KGS,120.0KGS,¥1.60,¥384.00,,
MS-T-220-7 SANCARGO,大壮,7,,Ceramic plates,"10""黑盘",24pcs/ctn,12CTNS,288pcs,0.501CBM,24.0KGS,288.0KGS,¥5.30,"¥1,526.40",,
MS-T-220-8 SANCARGO,大壮,8,,Ceramic plates,"8""黑盘",52pcs/ctn,5CTNS,260pcs,0.139CBM,24.0KGS,120.0KGS,¥3.00,¥780.00,,
MS-T-220-9 SANCARGO,大壮,9,,Ceramic plates,"5.5""黑盘",44pcs/ctn,6CTNS,264pcs,0.265CBM,24.0KGS,144.0KGS,¥3.00,¥792.00,,
MS-T-220-10 SANCARGO,大壮,10,,Ceramic cups,黑杯,72pcs/ctn,4CTNS,288pcs,0.250CBM,24.0KGS,96.0KGS,¥2.80,¥806.40,,
MS-T-221-1 SANCARGO,大壮,11,,Ceramic plates,"10.5""蓝鲸盘",26pcs/ctn,24CTNS,624pcs,0.780CBM,23.0KGS,552.0KGS,¥3.00,"¥1,872.00",,
MS-T-221-1 SANCARGO,大壮,11,,Ceramic plates,"10.5""蓝鲸盘",30pcs/ctn,6CTNS,180pcs,0.243CBM,25.0KGS,150.0KGS,¥3.00,¥540.00,,
MS-T-221-3 SANCARGO,大壮,13,,Ceramic  bowls,"5.5""蓝鲸碗",48pcs/ctn,10CTNS,480pcs,0.446CBM,24.0KGS,240.0KGS,¥1.60,¥768.00,,
MS-T-221-4 SANCARGO,大壮,14,,Ceramic plates,"10.5""蓝鲸黑线盘",30pcs/ctn,30CTNS,900pcs,1.096CBM,24.0KGS,720.0KGS,¥3.00,"¥2,700.00",,
MS-T-221-5 SANCARGO,大壮,15,,Ceramic plates,"8""蓝鲸黑线盘",60pcs/ctn,5CTNS,300pcs,0.199CBM,24.0KGS,120.0KGS,¥1.80,¥540.00,,
MS-T-221-6 SANCARGO,大壮,16,,Ceramic  bowls,"6""蓝鲸黑线碗",48pcs/ctn,10CTNS,480pcs,0.423CBM,23.0KGS,230.0KGS,¥1.60,¥768.00,,
MS-T-222-1 SANCARGO,悠肯,1,,Cookware,VK-49 Black,2pcs/ctn,1CTNS,2pcs,0.093CBM,22.1KGS,22.1KGS,¥285.00,¥570.00,,
MS-T-222-2 SANCARGO,悠肯,2,,Cookware,VK-49 Red,2pcs/ctn,1CTNS,2pcs,0.093CBM,22.1KGS,22.1KGS,¥285.00,¥570.00,,
MARKS,SHOP#,"ITEM
NO.",DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT,,
MS-T-222-3 SANCARGO,悠肯,3,,Cookware,VK-105 Black,2pcs/ctn,1CTNS,2pcs,0.092CBM,20.1KGS,20.1KGS,¥310.00,¥620.00,,
MS-T-222-4 SANCARGO,悠肯,4,,Cookware,VK-105 Green,2pcs/ctn,1CTNS,2pcs,0.092CBM,20.1KGS,20.1KGS,¥310.00,¥620.00,,
MS-T-222-5 SANCARGO,悠肯,5,,Cookware,VK-22 White,2pcs/ctn,1CTNS,2pcs,0.091CBM,17.9KGS,17.9KGS,¥365.00,¥730.00,,
MS-T-222-6 SANCARGO,悠肯,6,,Cookware,VK-6 Purple,1pcs/ctn,2CTNS,2pcs,0.116CBM,10.3KGS,20.5KGS,¥295.00,¥590.00,,
MS-T-222-7 SANCARGO,悠肯,7,,Cookware,VK-33 Cream,1pcs/ctn,2CTNS,2pcs,0.092CBM,14.6KGS,29.2KGS,¥310.00,¥620.00,,
MS-T-222-8 SANCARGO,悠肯,8,,Cookware,VK-201 Black,2pcs/ctn,2CTNS,4pcs,0.138CBM,19.0KGS,38.0KGS,¥228.00,¥912.00,,
MS-T-222-9 SANCARGO,悠肯,9,,Cookware,VK-201 Grey,2pcs/ctn,2CTNS,4pcs,0.138CBM,19.0KGS,38.0KGS,¥228.00,¥912.00,,
MS-T-223-1 SANCARGO,亿达,1,,Blender,BS插 搅拌机 MIB-129P 6in1,6pcs/ctn,2CTNS,12pcs,0.299CBM,21.4KGS,42.8KGS,¥133.00,"¥1,596.00",,
MS-T-223-3 SANCARGO,亿达,3,,Blender,BS插 搅拌机 MNB-128P 2in1,6pcs/ctn,2CTNS,12pcs,0.282CBM,14.3KGS,28.5KGS,¥80.00,¥960.00,,
MS-T-223-5 SANCARGO,亿达,5,,Air fryer,空气炸锅MNF-8506 12L,2pcs/ctn,2CTNS,4pcs,0.272CBM,14.3KGS,28.6KGS,¥170.00,¥680.00,,
