MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-302-30 SANCARGO,东田,30,,Electric  Meat Mincer,LK-805电动切片机,1pcs/ctn,20CTNS,20pcs,37,37,45,0.062CBM,1.232CBM,8.0KGS,160.0KGS,¥550.00,"¥11,000.00",,
,,,,accessories,Blade Assembly,100pcs/ctn,1CTNS,100pcs,37,30,27,0.030CBM,0.030CBM,16.0KGS,16.0KGS,¥35.00,"¥3,500.00",,
,,,,accessories,Blender Coupling100+ motor 2,102pcs/ctn,1CTNS,102pcs,30,25,30,0.023CBM,0.023CBM,8.0KGS,8.0KGS,,¥940.00,,
,,,,accessories,motor,8pcs/ctn,6CTNS,48pcs,52,33,20,0.034CBM,0.206CBM,17.0KGS,102.0KGS,¥120.00,"¥5,760.00",,
,,,,accessories,Cross Blade,160pcs/ctn,1CTNS,160pcs,38,31,17,0.020CBM,0.020CBM,15.0KGS,15.0KGS,,"¥1,800.00",,
MS-303-1 SANCARGO,俊达,1,,Food pan lid,1/2 cover,,1CTNS,50pcs,57,36,46,0.094CBM,0.094CBM,18.5KGS,18.5KGS,¥0.00,¥0.00,,
MS-303-2 SANCARGO,俊达,2,,Food pan lid,1/1 cover,,0CTNS,10pcs,,,,0.000CBM,0.000CBM,,0.0KGS,¥0.00,¥0.00,,
MS-303-3 SANCARGO,俊达,3,,Electric food warmer,warming,,20CTNS,20pcs,107,59,28,0.177CBM,3.535CBM,14.5KGS,290.0KGS,¥800.00,"¥16,000.00",,
,,,,,玻璃,,2CTNS,,112,22,40,0.099CBM,0.197CBM,117.0KGS,234.0KGS,,,,
MS-303-4 SANCARGO,俊达,4,,Electric food warmer,配套的 1/1 10cm带 cover,10pcs/ctn,1CTNS,20pcs,56,36,42,0.085CBM,0.085CBM,22.5KGS,22.5KGS,¥0.00,¥0.00,,
MS-303-5 SANCARGO,俊达,5,,Electric food warmer,配套的 1/2 10cm带 cover,40pcs/ctn,2CTNS,80pcs,77,36,70,0.194CBM,0.388CBM,34.0KGS,68.0KGS,¥0.00,¥0.00,,
,,,,,,,,,,,,,,,,,,,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-303-6 SANCARGO,俊达,6,,Potato Chip Cutter,"Potato Chip Cutter
卧式薯条机",,10CTNS,10pcs,26,52,25,0.034CBM,0.338CBM,5.5KGS,55.0KGS,¥200.00,"¥2,000.00",279-337,this item 8 ctn has been stuffed into other goods
MS-303-7 SANCARGO,俊达,7,,Salad Bar Display Counter,沙拉台,,0CTNS,0pcs,167,46,35,0.269CBM,0.000CBM,47.0KGS,0.0KGS,"¥2,250.00",¥0.00,,
MS-303-8 SANCARGO,俊达,8,,Salad Bar Display Counter,沙拉台连柜,,1CTNS,1pcs,150,81,92,1.118CBM,1.118CBM,75.0KGS,75.0KGS,"¥3,500.00","¥3,500.00",,
MS-303-9 SANCARGO,俊达,9,,Grinder,"5000g
磨粉机",2pcs/ctn,5CTNS,10pcs,64,33,51,0.108CBM,0.539CBM,24.0KGS,120.0KGS,¥680.00,"¥6,800.00",,
MS-303-10 SANCARGO,俊达,10,,Bone Saw,"250
铝合金锯骨机",,1CTNS,1pcs,52,52,60,0.162CBM,0.162CBM,44.5KGS,44.5KGS,"¥1,400.00","¥1,400.00",,
MS-303-11 SANCARGO,俊达,11,,Bone Saw,"250
铸铁锯骨机",,1CTNS,1pcs,52,52,60,0.162CBM,0.162CBM,44.5KGS,44.5KGS,"¥1,400.00","¥1,400.00",,
MS-303-12 SANCARGO,俊达,12,,Electric  Meat Mincer,"32-Meat mincer
绞肉机意式
TK32",,1CTNS,1pcs,38,55,50,0.105CBM,0.105CBM,47.0KGS,47.0KGS,"¥2,100.00","¥2,100.00",,
MS-303-13 SANCARGO,俊达,13,,Electric  Meat Mincer,"22-Meat mincer
绞肉机意式
YK22",,1CTNS,1pcs,46,27,48,0.060CBM,0.060CBM,31.0KGS,31.0KGS,"¥1,580.00","¥1,580.00",,
MS-303-14 SANCARGO,俊达,14,,Electric  Meat Mincer,绞肉机12全钢铜电机,,1CTNS,1pcs,43,26,45,0.050CBM,0.050CBM,21.0KGS,21.0KGS,"¥1,250.00","¥1,250.00",,
MS-303-15 SANCARGO,俊达,15,,Ice maker,ice maker 40kg,,1CTNS,1pcs,50,46,68,0.156CBM,0.156CBM,22.5KGS,22.5KGS,"¥1,950.00","¥1,950.00",,
MS-303-16 SANCARGO,俊达,16,,Ice maker,ice maker 50kg,,1CTNS,1pcs,46,62,75,0.214CBM,0.214CBM,34.0KGS,34.0KGS,"¥2,150.00","¥2,150.00",,
