Table 1
CLIENT DETAILS :   MOSES. MS-6                                                                      CONTAINER NO:MRSU9802805,,,,,,,,,,,,,,,
ITEM NO., DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT
,,,,,,,,,,,,,,,
NEW ORDER,,,,,,,,,,,,,,,
70,,Cup&Saucer ,"90ml cup&saucer
6 cup &6 saucer /color box,unit:set
8*5.9*5cm & 11.9*11.9*1.8cm,207g
porcelain",12pcs/ctn,5CTNS,60pcs,50,38,24,0.046CBM,0.228CBM,17.2KGS,86.0KGS,CN¥25.00,"CN¥1,500.00"
71,,Mug,"480ml Mug
18pcs/Display box,unit:pcs
9*10.1cm 355g
Porcelain",36pcs/ctn,8CTNS,288pcs,44,31,39,0.053CBM,0.426CBM,15.0KGS,120.0KGS,CN¥3.90,"CN¥1,123.20"
72,,Mug,"400ml Mug
egg packing;unit:pcs
φ8.5*10.2cm,302g
Porcelain",48pcs/ctn,10CTNS,480pcs,39.8,28,44.7,0.050CBM,0.498CBM,15.2KGS,152.0KGS,CN¥3.80,"CN¥1,824.00"
73,,Mug,"350ml Mug
egg packing;unit:pcs
φ8.2*9.3cm,335g
Porcelain",48pcs/ctn,10CTNS,480pcs,41,27.5,41.5,0.047CBM,0.468CBM,15.7KGS,157.4KGS,CN¥3.80,"CN¥1,824.00"
74,,garlic press,"garlic press
15cm 
304# s.s.",12pcs/ctn,5CTNS,60pcs,51,41,38.5,0.081CBM,0.403CBM,31.0KGS,155.0KGS,CN¥44.50,"CN¥2,670.00"
75,,garlic press,"garlic press
12.7cm 
304# s.s.",18pcs/ctn,3CTNS,54pcs,43,43,52.5,0.097CBM,0.291CBM,34.0KGS,102.0KGS,CN¥37.50,"CN¥2,025.00"
76,,garlic press,"garlic press
10cm 
304# s.s.",24pcs/ctn,2CTNS,48pcs,59.5,43,35.5,0.091CBM,0.182CBM,33.3KGS,66.5KGS,CN¥29.50,"CN¥1,416.00"
77,,Kitchen Tool Set,"Kitchen Tool Set 7pcs
Unit:Set
Silicone",12pcs/ctn,5CTNS,60pcs,63,47.5,43,0.129CBM,0.643CBM,15.5KGS,77.5KGS,CN¥45.20,"CN¥2,712.00"
78,,dessert plate ,"7.5""dessert plate 
6pcs/inner box,  Unit:Pcs
19*2.3cm",48pcs/ctn,20CTNS,960pcs,42,21,22.5,0.020CBM,0.397CBM,12.6KGS,252.0KGS,CN¥2.50,"CN¥2,400.00"
79,,dinner plate ,"10.5""large dinner plate 
6pcs/inner box,  Unit:Pcs
26.6*2.1cm",36pcs/ctn,50CTNS,1800pcs,37.5,29,29.5,0.032CBM,1.604CBM,17.6KGS,882.0KGS,CN¥4.80,"CN¥8,640.00"
80,,bowl ,"7""bowl 
6pcs/inner box,  Unit:Pcs
18*7.3cm",36pcs/ctn,20CTNS,720pcs,51.5,38,21.5,0.042CBM,0.842CBM,14.2KGS,284.0KGS,CN¥3.50,"CN¥2,520.00"
81,,dinner plate ,"10.5""dinner plate
6pcs/inner box,  Unit:Pcs
26*2.5cm",36pcs/ctn,26CTNS,936pcs,35.5,28.5,28.5,0.029CBM,0.750CBM,17.0KGS,442.0KGS,CN¥3.60,"CN¥3,369.60"
82,,dinner plate ,"10.5""dinner plate
6pcs/inner box,  Unit:Pcs
26*2.5cm",36pcs/ctn,24CTNS,864pcs,35.5,28.5,28.5,0.029CBM,0.692CBM,17.0KGS,408.0KGS,CN¥3.60,"CN¥3,110.40"
83,,dinner plate ,"10""dinner plate
pcs/inner box,  Unit:Pcs
25*3cm",36pcs/ctn,50CTNS,1800pcs,51,27.6,27.8,0.039CBM,1.957CBM,19.2KGS,960.0KGS,CN¥3.50,"CN¥6,300.00"
84,,bowl ,"6""bowl 
6pcs/inner box,  Unit:Pcs
15*7.2cm",72pcs/ctn,20CTNS,1440pcs,48.8,44,33,0.071CBM,1.417CBM,29.5KGS,590.0KGS,CN¥3.20,"CN¥4,608.00"
85,,bowl ,"8""Serving Bowl
6pcs/inner box,  Unit:Pcs
20x7.5cm
Opal Glass",24pcs/ctn,6CTNS,144pcs,52,44,23,0.053CBM,0.316CBM,13.0KGS,78.0KGS,CN¥5.00,CN¥720.00
86,,bowl ,"9""Serving Bowl
3pcs/inner box,  Unit:Pcs
24*24*11CM
Opal Glass",12pcs/ctn,10CTNS,120pcs,50.5,29.3,26.1,0.039CBM,0.386CBM,9.0KGS,90.0KGS,CN¥4.80,CN¥576.00
87,,dinner plate ,"10.5Dinner Plate
6pcs/inner box,  Unit:Pcs
26.5x26.5x2.5cm
Opal Glass",36pcs/ctn,50CTNS,1800pcs,37.5,28,29.5,0.031CBM,1.549CBM,16.2KGS,809.0KGS,CN¥5.20,"CN¥9,360.00"
88,,dinner plate ,"12""Serving Plate
6pcs/inner box,  Unit:Pcs
30.5x30x2.8cm
Opal Glass",24pcs/ctn,10CTNS,240pcs,33,27,33,0.029CBM,0.294CBM,15.9KGS,159.0KGS,CN¥6.30,"CN¥1,512.00"
89,,canister set,"3pcs Casserole Set
1.0L+1.5L+2.5L",4pcs/ctn,10CTNS,40pcs,47,38.5,29.4,0.053CBM,0.532CBM,16.2KGS,162.2KGS,CN¥47.00,"CN¥1,880.00"
90,,Dinner Plate,"10.5""Dinner Plate
6pcs/inner box,  Unit:Pcs
26*1.5cm
Opal Glass",36pcs/ctn,10CTNS,360pcs,34.5,28.5,29,0.029CBM,0.285CBM,18.1KGS,181.0KGS,CN¥4.90,"CN¥1,764.00"
91,,glass snack set,"4 pcs glass snack set
color box Unit:set
12*12*4.5cmH,250ml
golden iron stand
glass,iron",8pcs/ctn,5CTNS,40pcs,54.5,31,42,0.071CBM,0.355CBM,13.6KGS,68.0KGS,CN¥32.00,"CN¥1,280.00"
92,,Glass storage jar,"1400ml Glass storage jar
Egg packing Unit:pcs
9*21cm",24pcs/ctn,15CTNS,360pcs,43,32,47,0.065CBM,0.970CBM,11.3KGS,169.5KGS,CN¥10.20,"CN¥3,672.00"
93,,Glass storage jar,"1000ml Glass storage jar
Egg packing Unit:pcs
9*16cm",36pcs/ctn,10CTNS,360pcs,62.5,36,32,0.072CBM,0.720CBM,13.5KGS,135.0KGS,CN¥9.20,"CN¥3,312.00"
94,,Glass storage jar,"700ml Glass storage jar
Egg packing Unit:pcs
9*11cm",48pcs/ctn,5CTNS,240pcs,43,43,39.5,0.073CBM,0.365CBM,14.0KGS,70.0KGS,CN¥8.90,"CN¥2,136.00"
95,,Drinks Dispense,"3.1L Drinks Dispense
8set/color box Unit:set
17*26.5cmH,
glass,pp,silicone,iron",2pcs/ctn,5CTNS,10pcs,39.3,37.3,44,0.064CBM,0.322CBM,13.5KGS,67.5KGS,CN¥68.00,CN¥680.00
96,,dessert plate ,"8""dessert plate
6pcs/inner box;unit:pcs
20*20cm,469g
porcelain",48pcs/ctn,10CTNS,480pcs,45.5,33,23.7,0.036CBM,0.356CBM,22.0KGS,220.0KGS,CN¥4.20,"CN¥2,016.00"
97,,dinner plate ,"10""dinner plate
6pcs/inner box;unit:pcs
25*25cm,912g
porcelain",24pcs/ctn,16CTNS,384pcs,36,29,30,0.031CBM,0.501CBM,19.0KGS,304.0KGS,CN¥7.20,"CN¥2,764.80"
98,,Vacuum Cup ,"Vacuum Cup 500ml Black
Unit:PCS
8.8*17cm,312g
S.S. With Ceramic lining",25pcs/ctn,1CTNS,25pcs,48,48,18.5,0.043CBM,0.043CBM,10.5KGS,10.5KGS,CN¥29.90,CN¥747.50
99,,Mug,"400ml Mug
12pcs/egg packing;unit:pcs
φ8.8*9.5cm,301g
Porcelain",48pcs/ctn,10CTNS,480pcs,41.1,27.5,47,0.053CBM,0.531CBM,17.6KGS,176.0KGS,CN¥4.30,"CN¥2,064.00"
100,,Knife Set ,"Knife Set 3pcs
6set/inner box,Unit:SET
24cm
2Cr14 S.S.+Plastic:PP",48pcs/ctn,3CTNS,144pcs,46,36,27,0.045CBM,0.134CBM,16.0KGS,48.0KGS,CN¥16.00,"CN¥2,304.00"
101,,Knife Set ,"Knife Set 3PCS
12set/inner box,Unit:SET
33.5cm,24cm,20cm
2Cr14 S.S.+Plastic:PP",48pcs/ctn,5CTNS,240pcs,43,37.5,35.5,0.057CBM,0.286CBM,13.0KGS,65.0KGS,CN¥10.80,"CN¥2,592.00"
