NO：C25-6083,,,,义乌市佰世威厨具有限公司销售单,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,销售日期：2026-03-15,,,,,,,,,
备用电话：,,,,,,,,,,,,,送货日期：,,,,,,,,,
送货地址：,,,,,,,,,,,,,,,,,,,,,,
"NO.
序号","DATE
订单日期","ORD NO.
销售单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片1","PHOTO2
图片1","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L
长","W
宽","H
高","CBM
体积","G.W.
重量","T.T.CBM
总体积","T.T.KGS
总重量","CODE
条形码","REK
备注","W.H.
仓位"
30,2026-03-15,C25- 6083,,"1030-
8/9744-1",,,"12""Bakeware 6pcs/display
box,unit:pcs
33.5*24*7cm",10,6,60,19,1140,48,35,27,0.05,14,0.45,140,6812505600388,,浦江仓
31,2026-03-15,C25- 6083,,0801-3,,,"9.8""Bakeware 6pcs/display box,unit:pcs
25*17*6.5cm",5,6,30,12,360,42,26,19,0.02,6.8,0.10,34,6812505600081,,浦江仓
32,2026-03-15,C25- 6083,,"1030-
6/9744-3",,,"9.8""Bakeware 6pcs/display box,unit:pcs
25*17*6cm",5,6,30,11,330,41.5,27,20,0.02,8,0.11,40,6812505600371,,浦江仓
33,2026-03-15,C25- 6083,,W-KP3,,,"13""Bakeware 6pcs/display box,unit:pcs
32*20.3*5.8cm",15,6,90,19,1710,41,33,23,0.03,9.05,0.47,135.8,6665202018853,,浦江仓
34,2026-03-15,C25- 6083,,W-KP2,,,"11""Bakeware 6pcs/display box,unit:pcs
28*17.5*5.8cm",12,6,72,13,936,41.5,29.5,20,0.02,6.8,0.29,81.6,6665202018846,,浦江仓
35,2026-03-15,C25- 6083,,W-KP1,,,"10""Bakeware 6pcs/display box,unit:pcs
24*16*5.8cm，",5,6,30,9,270,18,25,41.5,0.02,6.6,0.09,33,6665202018839,,浦江仓
36,2026-03-15,C25- 6083,,DH4302- GREY,,,"Cake Mould Unit:PCS 26*26*5cm
Silicone",5,24,120,8.3,996,53,29,32,0.05,7,0.25,35,6900202507410,,浦江仓
37,2026-03-15,C25- 6083,,DH4326- GREY,,,"Cake Mould Unit:PCS
29*29*5.5cm
Silicone",5,48,240,7.8,1872,63,53,39,0.13,12,0.65,60,6900202507700,,浦江仓
38,2026-03-15,C25- 6083,,DHB166,,,"Roast chicken platter with grill pan
UNIT:PCS",8,12,96,31,2976,44,41,60,0.11,0,0.87,0,6667202133079,18-12,浦江仓
39,2026-03-15,C25- 6083,,KP003,,,"1.8L Baking Pan 29.5*18.1*5.1cm
color card,910g
,unit:Pcs",5,12,60,9.2,552,33.5,31,39,0.04,11.4,0.20,57,6920220314036,,东阳仓
